"";"no_razao";"raiz";"Total_por_raiz"
"163";"AQUARIUS TECNOLOGIA LTDA";22491066;1735149,84
"164";"DISTRIBUIDORA DE ALIMENTOS QUEIROZ LTDA";12434859;1728294,76
"165";"G SILVA TRANSPORTES E LOGISTICA LTDA";33489352;1721525,62
"166";"E R S CARVALHO E SILVEIRA TRANSPORTES LTDA";8429004;1714623,21
"167";"COELHO E FILHOS DISTRIBUIDOR DE MATERIAL DE CONSTRUCAO LTDA";16442942;1695551,17
"168";"DEPP ESTRELA M V COMERCIO DE ROUPAS LTDA";7919073;1695525,62
"169";"MAPPI TRANSPORTES E LOGISTICA LTDA EPP";2538878;1693905,55
"170";"PIRAMIDE ARGAMASSAS LTDA ME";13708352;1690516,18
"171";"PRIMUS RIO COMERCIO DE UTILIDADES DO LAR EIRELI";3375396;1682775,63
"172";"FERTIGIPS TRANSPORTES E COMERCIO LTDA";3462555;1664553,1
"173";"STEEL FRAME ENGENHARIA E MATERIAIS DE CONSTRUCOES LTDA EPP";8771920;1662293,23
"174";"TELEXPERTS TELECOMUNICACOES LTDA";7625852;1659399,66
"175";"PEDREIRA ANHANGUERA S/A EMPRESA DE MINERACAO";50170281;1651458,6
"176";"GUAPI PAPEIS INDUSTRIA DE PAPEL E PAPELAO LTDA";9470092;1634768,17
"177";"SIDERACO S/A";6245870;1608090,56
"178";"ASSIS RIO TRANSPORTES E LOCACAO LTDA";4373349;1605150,65
"179";"GENESYS COMERCIAL LTDA";5925340;1598536,35
"180";"MERIDIONAL CARGAS LTDA";23864838;1585695,76
"181";"RIOMARKET DISTRIBUIDORA DE ALIMENTOS LTDA";11624355;1582964,75
"182";"TELECOM 65 LTDA";7716753;1578529,36
"183";"ARANY ADORNOS LTDA";39412234;1577597,27
"184";"GLOBALPACK INDUSTRIA E COMERCIO LTDA";4558449;1574694,69
"185";"T G LOGISTICA E TRANSPORTES LTDA";10839911;1569091,95
"186";"MTB-INTERNATIONAL LTDA";5999296;1561350,06
"187";"OXITENO S A INDUSTRIA E COMERCIO";62545686;1560947,33
"188";"EMPRESA BRASILEIRA DE SOLDA ELETRICA S/A";33220880;1558496,92
"189";"ELETRICA RIO IND E COM LTDA EPP";23177000;1554198,97
"190";"TRANSPORTES PESADOS MINAS S A";17215039;1546706,53
"191";"STAR GOLD DISTRIBUIDORA DE PRODUTOS PARA PANIFICACAO LTDA";3263447;1542570,05
"192";"DS LOG COMERCIO DE CALCADOS LTDA";12680513;1542540,84
"193";"LLF MATHIAS VIAS DE TRANSPORTES RODOVIARIO LTDA";19223780;1534830,49
"194";"BSW COMERCIAL MODAS EIRELI";11200681;1533076,29
"195";"HB ADORNOS LTDA";31641871;1530365,41
"196";"RECIBRAS PORTO REAL RESIDUOS LTDA";5454543;1524922,14
"197";"DROGARIA GALANTI DE NOVA IGUACU LTDA";100374;1519862,92
"198";"CELER COMERCIALIZADORA DE ENERGIA ELETRICA LTDA";18483400;1511600,49
"199";"TOREG CAMISARIA LTDA";5234332;1506716,85
"200";"DOPAZO & SILVA SUCOS LTDA";4421518;1493789,9
"201";"ENGETECH COMERCIO E INDUSTRIA DE PLASTICOS LTDA";1144673;1489184,04
"202";"MAXX PACK INDUSTRIA E COMERCIO DE PLASTICO EIRELI";10873653;1482249,14
"203";"TRIFLEX COMERCIO E DISTRIBUICAO DE EMBALAGENS EIRELI";18539132;1471647,37
"204";"TRANSPORTADORA AJOFER LTDA";44191880;1460113,7
"205";"MANUFATURA ZONA OESTE S/A";29708492;1449013,25
"206";"CAIPA COMERCIAL E AGRICOLA IPATINGA LTDA";19875350;1447906,8
"207";"SMARTEXPRESS TRANSPORTES EIRELI - EPP";12103225;1445735,1
"208";"RETIRADA TRANSPORTE LTDA ME";7269019;1438092,96
"209";"MHB LOGISTICA E TRANSPORTES LTDA EPP";9172565;1437863,9
"210";"SUPRAFARMA COMERCIO E REPRESENTACAO DE MEDICAMENTOS EIRELI EPP";36222537;1434924,23
"211";"WANA INDUSTRIA E COMERCIO LTDA";42116400;1432782,59
"212";"TETRA TECHNOLOGIES DO BRASIL LTDA";2976581;1431804,93
"213";"PETY TRANSPORTES LTDA";796754;1409272,73
"214";"PETROQUIM INDUSTRIA E COMERCIO LTDA";31356132;1403967,71
"215";"R2 CONSULTORIA EM EPI EIRELI";8925318;1383085,65
"216";"AVEX BRASIL EXPORTADORA E IMPORTADORA - EIRELI";9008195;1382490,4
"217";"COMOGOL DISTRIBUIDORA EIRELI EPP";67670851;1373876,06
"218";"B MAIA COMERCIAL ELETRO LTDA";10878045;1373070,62
"219";"TRANSCONTROL COMERCIO E INDUSTRIA DE PRODUTOS ELETRONICOS LTDA";33804980;1352816,13
"220";"MADERO MOVEIS LTDA";4427808;1350899,25
"221";"S S WHITE ARTIGOS DENTARIOS LTDA";68567650;1343838,17
"222";"FELIX E VICTOR SORRENTINO INDUSTRIA E COMERCIO DE CONDIMENTOS LT";12557141;1339934,73
"223";"TRANSPORTADORA NORTE FLUMINENSE DE MACAE LTDA";30411573;1338625,52
"224";"TECNOPACK 136 COMERCIO E SERVICOS LTDA";1509982;1334304,94
"225";"BRASILPAMA MANUFATURA DE PAPEIS EIRELI";7716156;1330530,43
"226";"GIRA EMBALAGENS EIRELI";12502030;1325248,04
"227";"CAFE DE LA PAIX COMERCIO DE ALIMENTOS LTDA";2903357;1323239,33
"228";"CPN ALIMENTOS LTDA";33227596;1318030,83
"229";"MONTE AZUL COMERCIO E SERVICOS LTDA";26661275;1317497,2
"230";"ENGEVIX ENGENHARIA S/A";103582;1314770,62
"231";"CELLES CORDEIRO ALIMENTOS LTDA";60963972;1312632,43
"232";"TRANSPORTADORA AUGUSTO LTDA";14536920;1308531,33
"233";"RYDERPRESS TRANSPORTE E LOGISTICA EIRELI EPP";5751074;1303817,36
"234";"AMBOLE COMERCIO DE MOVEIS E DECORACAO LTDA";11102938;1301750,9
"235";"NOVA RIO COZINHA INDUSTRIAL S/A";15679351;1297696,48
"236";"LAMINAR VIDROS LTDA";7966090;1287531,59
"237";"CAMPISTA INDUSTRIA E COMERCIO DE SUBPRODUTOS BOVINOS LTDA EPP";17750063;1285610,74
"238";"CN2 2010 TRANSPORTES RODOVIARIOS DE CARGAS LTDA";5347659;1273975,24
"239";"AEROJET QUIMICA INDUSTRIAL LTDA";33152885;1269585,32
"240";"TRANSPORTADORA RODO CLAM EIRELI - EPP";6073075;1255531,82
"241";"SAO SEBASTIAO TRANSPORTES RODOVIARIOS EIRELI EPP";72529787;1247913,19
"242";"FIO'DENTE INDUSTRIA E COMERCIO LTDA";39414552;1245785,1
"243";"BIOMERIEUX BRASIL INDUSTRIA E COM DE PRODUTOS LABORATORIAIS LTDA";33040635;1245784,03
"244";"MAKE FASHION CONFECCAO LTDA";12612023;1241128,47
"245";"EDNO DECORACOES E REVESTIMENTOS LTDA";27598457;1238235,27
"246";"AVANT TRANSPORTES E LOCACAO LTDA EPP";23644000;1237204,14
"247";"HYSTEC HIDRAULICA E PNEUMATICA LTDA";1789077;1235598,14
"248";"BAR E RESTAURANTE GALLI LTDA";14443176;1235238,49
"249";"ASCA EQUIPAMENTOS INDUSTRIAIS LTDA";30047898;1231672,34
"250";"ARAUJO TRANSPORTE DE CARGAS LTDA ME";7941451;1228396,79
